Episode: 139, Total reward:-21.0, Explore P: 0.8990392618734793, loss: 26.430363
Episode: 140, Total reward:-21.0, Explore P: 0.8976640615586289, loss: 14.137912
Episode: 141, Total reward:-19.0, Explore P: 0.896281768172422, loss: 2.053818
Episode: 142, Total reward:-21.0, Explore P: 0.8948903283080334, loss: 183.21089
Episode: 143, Total reward:-21.0, Explore P: 0.8934928611965642, loss: 33.01215
Episode: 144, Total reward:-20.0, Explore P: 0.8920872051964526, loss: 1.6164806
Episode: 145, Total reward:-21.0, Explore P: 0.8906744562540496, loss: 84.01947
Episode: 146, Total reward:-20.0, Explore P: 0.8892539430130404, loss: 34.756123
Episode: 147, Total reward:-20.0, Explore P: 0.8878262757641792, loss: 9.616409
Episode: 148, Total reward:-21.0, Explore P: 0.886391801422738, loss: 99.72444
Episode: 149, Total reward:-19.0, Explore P: 0.8849510768249643, loss: 49.315685
Episode: 150, Total reward:-19.0, Explore P: 0.8835024378861651, loss: 0.5336181
Episode: 151, Total reward:-19.0, Explore P: 0.8820460320479516, loss: 5.2444143
Episode: 152, Total reward:-20.0, Explore P: 0.880581787704288, loss: 125.16661
Episode: 153, Total reward:-21.0, Explore P: 0.8791102966439, loss: 62.689808
Episode: 154, Total reward:-21.0, Explore P: 0.8776337020527973, loss: 87.05492
Episode: 155, Total reward:-20.0, Explore P: 0.8761487293285101, loss: 83.983376
Episode: 156, Total reward:-19.0, Explore P: 0.8746567153785564, loss: 40.36592
Episode: 157, Total reward:-19.0, Explore P: 0.873157611237544, loss: 23.195635
Episode: 158, Total reward:-21.0, Explore P: 0.8716519244801147, loss: 46.98681
Episode: 159, Total reward:-20.0, Explore P: 0.8701407445884127, loss: 0.65569246
Episode: 160, Total reward:-21.0, Explore P: 0.8686220016386749, loss: 6.5408883
Episode: 161, Total reward:-19.0, Explore P: 0.8670984292562431, loss: 8.046649
Episode: 162, Total reward:-21.0, Explore P: 0.8655671435919208, loss: 109.91951
Episode: 163, Total reward:-20.0, Explore P: 0.8640290051671267, loss: 126.98936
Episode: 164, Total reward:-20.0, Explore P: 0.8624829315086335, loss: 8.737833
Episode: 165, Total reward:-20.0, Explore P: 0.8609298203632495, loss: 323.26135
Episode: 166, Total reward:-21.0, Explore P: 0.8593690592772427, loss: 0.49182343
Episode: 167, Total reward:-20.0, Explore P: 0.8578013448990217, loss: 1.8104655
Episode: 168, Total reward:-21.0, Explore P: 0.8562282611342694, loss: 65.420044
Episode: 169, Total reward:-21.0, Explore P: 0.8546495681281714, loss: 170.63599
Episode: 170, Total reward:-20.0, Explore P: 0.8530642980449081, loss: 41.399837
Episode: 171, Total reward:-20.0, Explore P: 0.8514738964480255, loss: 2.2383652
Episode: 172, Total reward:-20.0, Explore P: 0.8498783874562725, loss: 185.97842
Episode: 173, Total reward:-21.0, Explore P: 0.8482764410717576, loss: 15.8536
Episode: 174, Total reward:-21.0, Explore P: 0.8466685312026847, loss: 0.21844378
Episode: 175, Total reward:-21.0, Explore P: 0.8450546216361063, loss: 3.6994183
Episode: 176, Total reward:-20.0, Explore P: 0.8434360077938455, loss: 22.556538
Episode: 177, Total reward:-21.0, Explore P: 0.8418126094229799, loss: 15.870773
Episode: 178, Total reward:-19.0, Explore P: 0.8401848285516256, loss: 40.360985
Episode: 179, Total reward:-20.0, Explore P: 0.8385508780166067, loss: 20.487265
Episode: 180, Total reward:-21.0, Explore P: 0.8369116840484233, loss: 24.598282
Episode: 181, Total reward:-20.0, Explore P: 0.8352665182313219, loss: 106.17167
Episode: 182, Total reward:-20.0, Explore P: 0.8336158916956014, loss: 387.09964
Episode: 183, Total reward:-21.0, Explore P: 0.8319595722901497, loss: 3.3222365
Episode: 184, Total reward:-21.0, Explore P: 0.8302990686477234, loss: 22.964415
Episode: 185, Total reward:-20.0, Explore P: 0.8286341566577432, loss: 6.988492
Episode: 186, Total reward:-17.0, Explore P: 0.8269644257003125, loss: 29.757023
Episode: 187, Total reward:-21.0, Explore P: 0.8252861040777376, loss: 189.99545
Episode: 188, Total reward:-21.0, Explore P: 0.8236028291391049, loss: 0.1401672
Episode: 189, Total reward:-19.0, Explore P: 0.821914191379049, loss: 2.9152367
Episode: 190, Total reward:-18.0, Explore P: 0.8202203906699378, loss: 179.08401
Episode: 191, Total reward:-21.0, Explore P: 0.818520483150022, loss: 0.6180066
Episode: 192, Total reward:-19.0, Explore P: 0.8168147459201349, loss: 109.052536
Episode: 193, Total reward:-19.0, Explore P: 0.815103132337909, loss: 5.486811
Episode: 194, Total reward:-20.0, Explore P: 0.8133861319238126, loss: 145.75883
Episode: 195, Total reward:-20.0, Explore P: 0.8116639027933337, loss: 11.028307
Episode: 196, Total reward:-20.0, Explore P: 0.8099362329988683, loss: 6.4065123
Episode: 197, Total reward:-20.0, Explore P: 0.8082030336849542, loss: 60.14913
Episode: 198, Total reward:-21.0, Explore P: 0.8064652772259067, loss: 27.417725
Episode: 199, Total reward:-19.0, Explore P: 0.8047236945203311, loss: 52.349022
Episode: 200, Total reward:-20.0, Explore P: 0.8029767321491605, loss: 5.0179124
Episode: 201, Total reward:-21.0, Explore P: 0.8012246197585954, loss: 105.92399
Episode: 202, Total reward:-21.0, Explore P: 0.7994689703217885, loss: 56.431404
Episode: 203, Total reward:-21.0, Explore P: 0.7977097555741148, loss: 31.196579
Episode: 204, Total reward:-19.0, Explore P: 0.7959472124828771, loss: 7.329501
Episode: 205, Total reward:-20.0, Explore P: 0.7941794172033795, loss: 19.967356
Episode: 206, Total reward:-20.0, Explore P: 0.792406487833806, loss: 50.95028
